B2,B3,B4,B5,B6,B7,B8,class
2977.0,3466.0,3800.0,2727.0,2995.0,3091.0,4028.0,50
827.0,1275.0,1672.0,1963.5,2144.0,2273.5,2210.0,50
573.5,854.0,1251.0,1662.5,1738.5,1728.0,1400.0,50
3454.0,3670.5,3810.0,2819.0,2837.0,2873.0,3580.5,50
1028.0,1371.0,1649.0,2035.0,2426.0,2636.0,2538.5,50
2015.0,2404.0,2763.0,2366.5,2540.0,2652.5,3068.0,50
1693.0,2072.0,2504.0,2032.0,2244.0,2366.0,2760.0,50
699.0,1150.0,1457.0,2246.0,2576.0,2741.5,2754.0,50
953.0,1282.0,1585.0,1947.5,2093.5,2198.0,2229.0,50
1074.0,1535.0,2202.0,2451.0,2661.5,2838.0,3042.5,50
964.0,1156.0,1285.0,2131.0,2267.5,2287.5,1468.0,50
2376.0,2847.0,2950.0,2269.0,2355.5,2508.0,2845.0,50
786.0,1090.0,1381.0,2239.5,2571.0,2658.0,2099.0,50
964.0,1466.0,2057.0,2199.0,2419.0,2591.5,2782.5,50
870.5,1224.0,1971.0,1971.5,2495.0,2593.5,2643.0,50
708.5,1043.0,1308.0,1487.0,1939.5,2194.0,2408.0,50
2606.0,2836.0,2939.0,2219.0,2272.0,2288.0,2815.0,50
1345.0,1682.0,2444.0,2659.5,2788.0,2832.0,2834.0,50
848.0,1146.0,1447.0,2098.0,2280.0,2439.0,2061.0,50
798.5,1050.0,1150.0,1331.5,2000.0,2216.0,1853.0,50
984.5,1320.0,1783.0,2006.0,2146.5,2286.0,2163.5,50
1045.0,1277.0,1541.0,1676.5,1834.0,1931.5,1843.0,50
858.0,1162.0,1579.0,1864.5,2057.0,2303.5,2157.0,50
956.0,1335.0,1920.0,2251.0,2540.0,2702.5,2825.0,50
1062.0,1454.0,1948.0,2003.0,2079.5,2223.0,2394.0,50
972.5,1403.0,1888.0,2174.5,2333.0,2419.5,2168.0,50
1430.0,1813.0,2144.0,1992.0,2426.0,2530.0,2881.0,50
956.5,1208.0,1465.0,1721.5,1754.5,1782.0,1610.5,50
1183.0,1522.0,1771.0,2331.5,2418.5,2462.5,1977.0,50
813.0,1085.0,1363.0,1680.5,1930.0,1935.5,2126.0,50
483.5,765.5,969.5,1693.0,2182.5,2418.5,2263.0,50
714.5,1038.0,2157.0,1961.0,2201.0,2320.5,2625.5,50
875.0,1353.0,1975.0,2392.0,2472.0,2595.0,2486.0,50
1305.0,1721.0,2003.0,2368.5,2484.0,2551.5,2395.0,50
716.0,1040.0,1374.0,1796.0,2013.0,2197.5,2094.0,50
752.0,1042.0,1389.0,1734.0,1903.5,2104.5,2151.5,50
412.0,596.0,731.0,986.0,1320.0,1480.0,1358.0,50
579.0,753.5,916.5,1232.5,1849.0,2046.5,2071.0,50
960.0,1442.0,2017.0,2166.0,2466.0,2609.5,2687.0,50
1404.0,1826.0,2245.0,2026.0,2232.0,2369.0,2763.0,50
1109.0,1454.0,1955.0,2287.0,2492.5,2540.0,2459.0,50
926.0,1085.0,1503.0,2125.5,2160.0,2194.0,1718.5,50
476.0,731.5,819.0,1507.5,2308.0,2614.5,2499.0,50
935.0,1109.0,1322.0,1781.0,1964.5,2009.5,1684.5,50
807.0,1234.0,2299.5,2011.5,2203.5,2204.0,2504.0,50
1084.0,1443.0,1811.0,2464.0,2559.0,2674.0,2197.0,50
1514.0,1897.0,2481.0,2401.5,2561.5,2647.5,2892.0,50
812.0,1172.0,1632.0,1925.0,2260.0,2437.0,2478.0,50
681.5,997.0,1512.0,2237.5,2559.0,2650.5,2173.0,50
1230.0,1411.0,2639.0,2464.5,2563.5,2557.5,2535.5,50
890.5,1159.0,1823.0,2133.0,2205.0,2224.0,2120.5,50
1142.0,1428.0,1883.0,2081.5,2124.0,2159.5,2005.5,50
928.0,1303.0,1645.0,1976.5,2257.0,2397.0,2205.0,50
2529.0,2747.0,2900.0,3245.0,3177.5,3088.0,2953.0,50
1214.0,1689.0,2045.0,2158.0,2282.0,2386.0,2455.0,50
1389.0,1774.0,2172.0,2159.0,2350.0,2502.0,3043.0,50
1054.0,1359.0,1628.0,1999.5,2110.5,2242.0,2144.0,50
1426.0,1828.0,2165.0,2494.5,2501.0,2545.0,2360.5,50
952.5,1273.0,2316.0,2415.0,2578.0,2624.5,2777.0,50
649.0,991.0,1302.0,1826.0,2009.0,2141.0,2158.0,50
1009.0,1394.0,2273.0,2654.0,2826.5,2966.0,2769.0,50
818.5,1040.0,1422.0,1731.0,2060.0,2226.5,1863.0,50
1737.0,2129.0,2428.0,2381.5,2493.5,2566.5,2727.0,50
1076.0,1377.0,1668.0,1949.0,2115.0,2173.0,2241.0,50
960.0,1225.0,1852.0,1805.5,2257.0,2400.5,2328.0,50
1223.0,1714.0,2119.0,2035.0,2334.5,2451.5,2614.5,50
1161.0,1487.0,2518.0,2948.0,3053.0,2988.0,2613.0,50
992.0,1470.0,1842.0,2068.0,2280.0,2415.5,2410.5,50
1434.0,1830.0,2111.0,2150.0,2255.0,2290.0,2418.0,50
1746.0,2119.0,2342.0,2116.0,2278.0,2358.0,2499.0,50
2267.0,2447.0,2660.0,2535.5,2552.5,2501.0,2603.0,50
841.0,1196.0,1558.0,1944.0,2272.0,2470.5,2625.0,50
985.0,1218.0,1572.0,1774.5,1970.5,2159.5,2220.5,50
697.0,917.0,1153.0,1196.5,1495.5,1628.0,1542.0,50
1305.0,1632.0,2112.0,2716.5,2789.5,2855.5,2699.0,50
999.0,1298.0,1617.0,2026.5,2115.0,2207.5,1895.0,50
882.5,1343.0,1736.0,2091.5,2268.0,2453.5,2400.0,50
632.0,938.0,1028.0,2131.0,2508.0,2719.0,2395.0,50
1073.0,1558.0,2099.0,2607.0,2692.5,2743.5,2624.0,50
1323.0,1640.0,1952.0,2220.5,2307.5,2358.5,2038.5,50
974.5,1238.0,1542.0,1565.0,1867.5,2022.5,2092.0,50
480.0,816.0,1385.0,1865.0,2377.5,2598.5,2284.0,50
1433.0,1787.0,2078.0,2154.0,2202.5,2248.0,2457.0,50
1710.0,1903.0,2144.0,2436.5,2569.0,2563.5,2496.0,50
771.5,1007.0,1328.0,2111.5,2526.0,2791.0,2499.5,50
